id,title,description,createdAt,updatedAt
1,Machine Learning Engineer Path,"Learn to build, train, and optimize machine learning models using Python and modern tools.",2024-02-20 07:55:42,2022-12-30 15:36:19
2,Cloud Architect Path,"Gain skills in designing, implementing, and managing cloud-based infrastructure and services.",2020-12-10 03:16:44,2024-08-20 10:26:39
3,Cybersecurity Specialist Path,"Develop expertise in protecting networks, systems, and data from cyber threats.",2022-09-21 16:06:08,2021-07-08 03:26:08
4,Mobile App Developer Path,Learn to design and develop applications for mobile platforms such as Android and iOS.,2021-01-13 16:01:47,2023-09-20 02:55:53
5,Database Administrator Path,"Master the skills required to manage, maintain, and optimize database systems.",2022-07-05 05:46:27,2020-08-22 03:27:11
6,Game Developer Path,Learn the fundamentals of game design and development using tools like Unity or Unreal Engine.,2020-03-03 21:40:11,2023-08-20 02:14:45
7,AI Researcher Path,Gain advanced knowledge of artificial intelligence and its research applications.,2021-08-03 12:20:50,2023-08-09 19:11:24
8,Blockchain Developer Path,Learn the basics of blockchain technology and develop smart contracts for decentralized applications.,2023-04-21 19:26:59,2023-10-30 16:41:07
9,UI/UX Designer Path,Master the principles of user interface and user experience design to create intuitive digital products.,2023-12-08 16:44:10,2022-06-06 03:08:37
10,Site Reliability Engineer Path,"Learn to manage and improve system reliability through monitoring, automation, and scalability.",2021-10-31 18:07:01,2023-02-24 21:39:42
11,Product Manager Path,"Understand product development, market research, and user needs to lead product strategy.",2020-08-21 21:09:53,2023-01-03 22:32:51
12,Data Analyst Path,"Learn to collect, analyze, and visualize data to derive insights for business decisions.",2020-06-04 21:54:30,2023-09-10 03:01:19
13,Solutions Architect Path,Gain expertise in designing and managing complex IT solutions for organizations.,2022-03-24 01:41:11,2024-02-24 23:21:44
14,QA Automation Engineer Path,Learn to automate software testing processes and ensure quality assurance.,2024-09-02 04:02:40,2024-09-11 16:47:02
15,Robotics Engineer Path,"Master robotics design, development, and programming techniques for various applications.",2020-01-06 05:57:17,2023-11-15 21:14:42
16,Embedded Systems Developer Path,Learn to develop software for embedded systems used in consumer electronics and industrial devices.,2021-12-12 03:11:22,2020-05-01 22:05:39
17,AR/VR Developer Path,Gain knowledge of designing and developing augmented and virtual reality experiences.,2023-08-20 00:49:32,2024-08-21 17:11:15
18,Software Architect Path,"Learn the fundamentals of software design, architecture, and best practices for building scalable applications.",2023-08-30 14:33:39,2021-05-16 01:49:48
19,Network Engineer Path,"Gain knowledge in designing, building, and maintaining computer networks.",2022-11-06 08:11:59,2023-10-28 09:15:52
20,IT Support Specialist Path,"Learn to provide IT support services, troubleshoot issues, and maintain IT infrastructure.",2024-02-03 07:47:01,2021-12-29 07:48:38
21,Business Intelligence Developer Path,Gain expertise in designing and developing data models for business intelligence solutions.,2020-03-10 08:45:42,2020-02-29 20:45:18
22,Digital Marketing Specialist Path,Learn digital marketing strategies and tools to drive online growth and brand engagement.,2024-05-08 05:44:40,2024-03-18 14:53:43
23,Salesforce Developer Path,Master Salesforce development and customize solutions for business needs.,2020-10-22 18:33:07,2023-08-08 02:57:43
24,IT Security Consultant Path,Learn to assess and implement security measures for IT systems and networks.,2022-02-14 20:39:08,2022-10-06 07:55:25
25,API Developer Path,Gain skills in designing and developing Application Programming Interfaces (APIs).,2021-02-25 16:02:09,2022-09-07 15:35:08
26,Quantum Computing Researcher Path,Learn the concepts of quantum computing and its research applications.,2022-03-05 11:43:42,2024-01-19 08:08:07
27,NLP Engineer Path,Gain expertise in building natural language processing applications.,2024-09-23 20:12:01,2022-01-13 09:19:34
28,E-commerce Developer Path,Learn to design and develop e-commerce platforms with a focus on user experience.,2024-06-01 03:20:54,2023-05-31 06:23:30
29,DevSecOps Engineer Path,Develop skills in integrating security practices within DevOps processes.,2021-06-29 00:08:21,2021-01-13 04:45:59
30,Technical Writer Path,Master the skills needed to create technical documentation for software and systems.,2024-02-22 23:31:21,2020-09-24 09:44:30
